Region,Centroid_X,Centroid_Y,Total_Area,Max_Radiation,Average_Radiation,Threshold,Area_m2,Median_Radiation,Median_Radiation_X,Median_Radiation_Y
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,212.809,700,0.0,,,
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,212.809,800,0.0,,,
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,212.809,900,0.0,,,
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,212.809,1000,0.0,,,
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,212.809,1100,0.0,,,
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,212.809,1200,0.0,,,
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,212.809,1300,0.0,,,
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,212.809,1400,191875.0,1484.343505859375,2923987.5,2268212.5
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,212.809,1500,68905625.0,1582.50146484375,2933062.5,2257212.5
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,212.809,1600,1271798750.0,1662.574951171875,2981612.5,2246237.5
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,212.809,1700,14598125.0,1701.824462890625,3009587.5,2157112.5
ES419,2997689.393440993,2210192.0458314344,10557899130.197742,1716.2255,212.809,1800,0.0,,,
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1755.0983,198.03462,700,0.0,,,
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1755.0983,198.03462,800,0.0,,,
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1755.0983,198.03462,900,0.0,,,
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1755.0983,198.03462,1000,0.0,,,
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1755.0983,198.03462,1100,0.0,,,
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1755.0983,198.03462,1200,0.0,,,
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1755.0983,198.03462,1300,3750.0,1381.06005859375,2993562.5,2055237.5
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1755.0983,198.03462,1400,40625.0,1448.7081298828125,2993512.5,2055337.5
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1755.0983,198.03462,1500,157500.0,1584.6424560546875,3044112.5,2065937.5
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1755.0983,198.03462,1600,452137500.0,1691.9365234375,3050462.5,2074712.5
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1755.0983,198.03462,1700,484927500.0,1711.283935546875,3070537.5,2095987.5
ES411,3058628.4365513283,2066548.3904065066,8051924471.860494,1755.0983,198.03462,1800,0.0,,,
ES412,3204997.0788679277,2241209.2547346377,14291016250.333292,1667.3192,103.78087,700,0.0,,,
ES412,3204997.0788679277,2241209.2547346377,14291016250.333292,1667.3192,103.78087,800,0.0,,,
ES412,3204997.0788679277,2241209.2547346377,14291016250.333292,1667.3192,103.78087,900,0.0,,,
ES412,3204997.0788679277,2241209.2547346377,14291016250.333292,1667.3192,103.78087,1000,0.0,,,
ES412,3204997.0788679277,2241209.2547346377,14291016250.333292,1667.3192,103.78087,1100,80625.0,1191.15576171875,3249762.5,2307662.5
ES412,3204997.0788679277,2241209.2547346377,14291016250.333292,1667.3192,103.78087,1200,70558125.0,1280.7757568359375,3243237.5,2315037.5
ES412,3204997.0788679277,2241209.2547346377,14291016250.333292,1667.3192,103.78087,1300,127548125.0,1364.0560302734375,3250787.5,2301837.5
ES412,3204997.0788679277,2241209.2547346377,14291016250.333292,1667.3192,103.78087,1400,253750000.0,1473.368408203125,3196187.5,2280937.5
ES412,3204997.0788679277,2241209.2547346377,14291016250.333292,1667.3192,103.78087,1500,427290000.0,1549.3779296875,3187237.5,2259312.5
ES412,3204997.0788679277,2241209.2547346377,14291016250.333292,1667.3192,103.78087,1600,114494375.0,1629.61328125,3173987.5,2145912.5
ES412,3204997.0788679277,2241209.2547346377,14291016250.333292,1667.3192,103.78087,1700,0.0,,,
ES412,3204997.0788679277,2241209.2547346377,14291016250.333292,1667.3192,103.78087,1800,0.0,,,
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.42204,700,0.0,,,
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.42204,800,0.0,,,
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.42204,900,0.0,,,
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.42204,1000,0.0,,,
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.42204,1100,0.0,,,
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.42204,1200,65000.0,1286.5791015625,3069987.5,2335012.5
ES413,3028207.2900867932,2305091.7164735263,15577765975.480114,1675.5222,190.42204,1300,2418125.0,1375.0977783203125,2941087.5,2311912.5
